,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
96,0.7269,Sat May 19 11:05:46 +0000 2018,0.0,0.697,0.303,And the bride arrives - Meghan Markle emerges into bright May sunshine at St George's Chapel… https://t.co/TJCRTwy4KG,97,@BBCBreaking
97,0.4389,Sat May 19 10:54:54 +0000 2018,0.0,0.847,0.153,A stunning sight! Meghan Markle's car drives down Long Walk to Windsor Castle ahead of the #royalwedding… https://t.co/L2YsIw0oFY,98,@BBCBreaking
98,0.6369,Sat May 19 10:41:08 +0000 2018,0.0,0.781,0.219,"Prince Harry arrives at Windsor Castle with his brother and best man, Prince William

https://t.co/XbDbz071Bl… https://t.co/i6YdflPlVE",99,@BBCBreaking
99,0.0,Sat May 19 10:26:22 +0000 2018,0.0,1.0,0.0,The first glimpse of bride Meghan Markle as she leaves Cliveden House Hotel for Windsor Castle… https://t.co/Itztp6zP8I,100,@BBCBreaking
100,-0.6486,Fri Jun 08 22:44:22 +0000 2018,0.163,0.837,0.0,RT @CBSEveningNews: Celebrity chef Anthony Bourdain was found dead today in his hotel room in France -- an official said he hanged himself…,1,@CBSNews
101,0.0,Fri Jun 08 22:42:20 +0000 2018,0.0,1.0,0.0,"RT @CBSEveningNews: Tonight's HEADLINES in 60 seconds

The @CBSEveningNews is on NOW https://t.co/LutXl1krbp",2,@CBSNews
102,-0.4215,Fri Jun 08 22:33:36 +0000 2018,0.203,0.676,0.122,An American special forces soldier was killed and four other servicemen were wounded during a multiple-day operatio… https://t.co/hvcglo1SOg,3,@CBSNews
103,0.0,Fri Jun 08 22:15:04 +0000 2018,0.0,1.0,0.0,"""The Worm"" is going to Singapore; White House officials, however, have repeatedly said that former NBA star Dennis… https://t.co/UM8lMGC8wG",4,@CBSNews
104,0.0,Fri Jun 08 22:00:00 +0000 2018,0.0,1.0,0.0,"Mitt Romney, formerly the face of the ""Never Trump"" movement in 2016, sees the president being re-nominated ""easily… https://t.co/ZFQfrlOX2u",5,@CBSNews
105,0.0772,Fri Jun 08 21:19:41 +0000 2018,0.0,0.936,0.064,Democratic senators want to know if anyone on Wall Street was tipped off with information related to President Trum… https://t.co/80kOsMl9Se,6,@CBSNews
106,0.0,Fri Jun 08 21:06:36 +0000 2018,0.0,1.0,0.0,"WATCH LIVE: Pres. Trump, Canadian PM Justin Trudeau meet at G7 summit in Charlevoix, Quebec https://t.co/k6VYtNcnL0 https://t.co/ji6kozHSPV",7,@CBSNews
107,0.0,Fri Jun 08 21:00:01 +0000 2018,0.0,1.0,0.0,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/mfrUgWGXxt,8,@CBSNews
108,0.4019,Fri Jun 08 20:39:41 +0000 2018,0.0,0.863,0.137,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/uXFufQIhVH",9,@CBSNews
109,0.4215,Fri Jun 08 20:19:40 +0000 2018,0.0,0.826,0.174,$1.5 billion in campaign support was not enough for several candidates backed by George Soros to oust the incumbent… https://t.co/EKf8NKGzO2,10,@CBSNews
110,0.8442,Fri Jun 08 19:59:55 +0000 2018,0.0,0.701,0.299,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/6l1bgDfisP",11,@CBSNews
111,0.0,Fri Jun 08 19:40:04 +0000 2018,0.0,1.0,0.0,"With one last look at the crowd, Marmalade the harbor seal dived back into the waves off the coast of Ocean City, M… https://t.co/4aAYTzVmSF",12,@CBSNews
112,-0.6369,Fri Jun 08 19:24:50 +0000 2018,0.189,0.811,0.0,Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash… https://t.co/5EASH4rhUA,13,@CBSNews
113,0.0,Fri Jun 08 19:10:19 +0000 2018,0.0,1.0,0.0,"""We are accountable to the people who use what we make"": Facebook COO Sheryl Sandberg's MIT commencement speech urg… https://t.co/b0ZhxaFHlJ",14,@CBSNews
114,-0.6705,Fri Jun 08 18:49:50 +0000 2018,0.22,0.78,0.0,Authorities are investigating the reported suicide of a Kansas woman who led a private investigator to the decompos… https://t.co/TapZCfxZeU,15,@CBSNews
